model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-mlm-bpe-unmask-seed_777,adj,adv,1,0.01,6,0.5434782608695652,0.5824175824175825
smolm-mlm-bpe-unmask-seed_777,adv,v,5,0.01,30,0.6630434782608695,0.7032967032967034
smolm-mlm-bpe-unmask-seed_777,n,adv,2,0.01,27,0.782608695652174,0.6703296703296703
smolm-mlm-bpe-unmask-seed_777,n,adv,5,0.001,54,0.6956521739130435,0.6483516483516484
smolm-mlm-bpe-unmask-seed_777,adj,v,2,0.01,12,0.82,0.82
smolm-mlm-bpe-unmask-seed_777,adj,v,3,0.01,19,0.8,0.77
smolm-mlm-bpe-unmask-seed_777,n,adv,1,0.001,55,0.6956521739130435,0.6593406593406593
smolm-mlm-bpe-unmask-seed_444,adj,adv,5,0.01,42,0.6086956521739131,0.4835164835164835
smolm-mlm-bpe-unmask-seed_444,n,adv,3,0.01,35,0.8586956521739131,0.7362637362637363
smolm-mlm-bpe-unmask-seed_444,adj,adv,2,0.01,18,0.6304347826086957,0.4945054945054945
smolm-mlm-bpe-unmask-seed_444,adj,adv,4,0.01,19,0.6413043478260869,0.5274725274725275
smolm-mlm-bpe-unmask-seed_444,adj,v,5,0.01,0,0.87,0.83
smolm-mlm-bpe-unmask-seed_444,n,v,1,0.001,58,0.87,0.87
smolm-mlm-bpe-unmask-seed_444,adj,adv,3,0.01,51,0.6521739130434783,0.4835164835164835
smolm-mlm-bpe-unmask-seed_444,adv,v,2,0.01,15,0.8152173913043478,0.6813186813186813
smolm-mlm-bpe-unmask-seed_444,n,adj,4,0.01,6,0.72,0.73
smolm-mlm-bpe-unmask-seed_444,adv,v,3,0.01,10,0.782608695652174,0.5824175824175825
smolm-mlm-bpe-unmask-seed_444,n,v,3,0.001,8,0.9,0.87
smolm-mlm-bpe-unmask-seed_444,n,adj,5,0.01,4,0.76,0.72
smolm-mlm-bpe-unmask-seed_444,n,adv,4,0.01,11,0.8586956521739131,0.7802197802197802
smolm-mlm-bpe-unmask-seed_444,adv,v,1,0.01,11,0.7282608695652174,0.7032967032967034
smolm-mlm-bpe-unmask-seed_444,adj,v,1,0.01,0,0.83,0.89
smolm-mlm-bpe-unmask-seed_444,n,v,2,0.001,16,0.86,0.84
